timestamp,iter,lr,eta,time,data_time,memory,cls,reg,d0.cls,d0.reg,d1.cls,d1.reg,d2.cls,d2.reg,d3.cls,d3.reg,d4.cls,d4.reg,seg,seg_dice,cls_t0,reg_t0,d0.cls_t0,d0.reg_t0,d1.cls_t0,d1.reg_t0,d2.cls_t0,d2.reg_t0,d3.cls_t0,d3.reg_t0,d4.cls_t0,d4.reg_t0,seg_t0,seg_dice_t0,cls_t1,reg_t1,d0.cls_t1,d0.reg_t1,d1.cls_t1,d1.reg_t1,d2.cls_t1,d2.reg_t1,d3.cls_t1,d3.reg_t1,d4.cls_t1,d4.reg_t1,seg_t1,seg_dice_t1,cls_t2,reg_t2,d0.cls_t2,d0.reg_t2,d1.cls_t2,d1.reg_t2,d2.cls_t2,d2.reg_t2
"2026-04-13 03:27:39,045",1050,5e-05,8 days 9:17:50,4.353,0.108,30859.0,0.4053,0.9677,0.5332,1.6752,0.4514,1.3168,0.4381,1.1631,0.4183,1.0707,0.408,0.9982,0.0456,0.0821,0.4661,1.0356,0.9697,2.5944,0.6773,1.6403,0.5989,1.3296,0.5229,1.1717,0.4776,1.0818,0.0689,0.1222,0.3951,0.8808,0.5599,1.6343,0.4754,1.2298,0.4462,1.1035,0.4144,0.9939,0.4004,0.9252,0.0505,0.0859,0.3842,0.8774,0.5168,1.5594,0.4439,1.2092,0.4356,"1.0680,"
"2026-04-13 03:31:14,905",1100,4.999e-05,8 days 9:10:35,4.317,0.11,30859.0,0.4176,0.9104,0.5324,1.5993,0.4665,1.2656,0.4436,1.0927,0.4326,1.0101,0.4143,0.9495,0.0434,0.0772,0.4627,1.0276,1.0096,2.5946,0.6865,1.6179,0.6029,1.3059,0.5207,1.1538,0.4673,1.0751,0.0676,0.1237,0.4097,0.8926,0.5623,1.6203,0.486,1.2828,0.4568,1.1073,0.4226,1.0236,0.4086,0.9411,0.0526,0.0936,0.4065,0.8243,0.5221,1.5252,0.4521,1.2052,0.4385,"1.0463,"
"2026-04-13 03:34:50,284",1150,4.999e-05,8 days 9:02:30,4.307,0.107,30859.0,0.4843,1.0634,0.6301,1.8351,0.5369,1.4557,0.5186,1.278,0.5002,1.1739,0.4835,1.1139,0.0503,0.0916,0.5238,1.158,1.0788,2.7703,0.7579,1.7796,0.6746,1.4439,0.5842,1.2917,0.5354,1.2116,0.0773,0.1451,0.4613,0.9988,0.6578,1.7974,0.5478,1.3686,0.5175,1.2113,0.4877,1.1271,0.4622,1.0524,0.0576,0.1106,0.4574,0.9935,0.6056,1.7902,0.5092,1.4121,0.4931,"1.2402,"
"2026-04-13 03:38:26,203",1200,4.999e-05,8 days 8:56:07,4.319,0.115,30859.0,0.4294,1.0066,0.5355,1.7428,0.481,1.3762,0.4666,1.2202,0.4419,1.1332,0.4308,1.0659,0.048,0.0864,0.5009,1.0671,1.0496,2.6608,0.7385,1.667,0.6385,1.3531,0.5705,1.2131,0.5162,1.1311,0.0736,0.1357,0.4394,0.9108,0.6134,1.7161,0.5307,1.318,0.4964,1.1481,0.4606,1.0288,0.4359,0.9684,0.0537,0.096,0.4136,0.9215,0.5577,1.6427,0.4793,1.3174,0.4524,"1.1491,"
"2026-04-13 03:42:02,270",1250,4.999e-05,8 days 8:50:15,4.322,0.113,30859.0,0.4118,1.0029,0.5487,1.7496,0.4649,1.3803,0.4569,1.2218,0.4266,1.1192,0.4101,1.0498,0.0484,0.0867,0.4683,1.0821,1.0346,2.7295,0.7221,1.7107,0.6196,1.3836,0.5365,1.2542,0.4778,1.1413,0.0731,0.1339,0.4163,0.9483,0.5833,1.7464,0.5081,1.3476,0.4793,1.1727,0.4383,1.0878,0.4155,1.0054,0.0565,0.0998,0.4011,0.9418,0.5587,1.6864,0.4788,1.3035,0.4494,"1.1280,"
"2026-04-13 03:45:37,143",1300,4.999e-05,8 days 8:41:55,4.297,0.107,30859.0,0.4176,0.9432,0.5194,1.6914,0.4716,1.2932,0.4435,1.1272,0.4211,1.049,0.4117,0.971,0.0438,0.084,0.5264,1.1414,1.1095,2.8546,0.7652,1.8078,0.6758,1.4525,0.5837,1.2898,0.5255,1.2006,0.0737,0.1389,0.4679,1.0547,0.6529,1.8892,0.5447,1.4542,0.528,1.2638,0.4903,1.1515,0.4668,1.1001,0.0545,0.1001,0.4295,0.9564,0.5796,1.7207,0.498,1.318,0.4688,"1.1537,"
"2026-04-13 03:49:13,964",1350,4.999e-05,8 days 8:38:01,4.336,0.114,30859.0,0.4196,0.9053,0.5415,1.6506,0.4672,1.3255,0.4415,1.1424,0.4311,1.009,0.4205,0.9415,0.0452,0.0858,0.4727,1.021,1.0658,2.6199,0.7424,1.6514,0.635,1.2964,0.5416,1.141,0.4773,1.0801,0.0765,0.1384,0.4226,0.9232,0.5941,1.7163,0.4908,1.3041,0.4685,1.0991,0.4415,1.0058,0.4222,0.9578,0.0544,0.0974,0.3991,0.8769,0.542,1.6397,0.4556,1.2505,0.4234,"1.0775,"
"2026-04-13 03:52:50,438",1400,4.999e-05,8 days 8:33:27,4.329,0.111,30859.0,0.4293,0.8762,0.5495,1.6204,0.4645,1.2651,0.4515,1.0828,0.4351,0.988,0.4282,0.9323,0.0448,0.0854,0.4515,0.998,1.0424,2.7655,0.6946,1.7113,0.5846,1.3316,0.5108,1.1756,0.455,1.073,0.0691,0.133,0.3823,0.9114,0.5643,1.7469,0.4598,1.3301,0.4392,1.1489,0.4089,1.0353,0.3839,0.9727,0.0519,0.1007,0.3945,0.853,0.519,1.5927,0.4403,1.2368,0.4189,"1.0463,"
"2026-04-13 03:56:26,053",1450,4.999e-05,8 days 8:27:21,4.313,0.113,30885.0,0.4213,0.9439,0.5421,1.7023,0.4632,1.338,0.4375,1.1778,0.4252,1.0674,0.4149,0.9971,0.0452,0.0869,0.5231,1.1028,1.0845,2.8506,0.7639,1.8331,0.6612,1.457,0.5725,1.3105,0.5289,1.182,0.0744,0.1514,0.4398,0.9747,0.613,1.8,0.5211,1.4,0.4918,1.2089,0.4557,1.1031,0.4307,1.0317,0.056,0.107,0.4317,0.9284,0.5643,1.74,0.4831,1.3492,0.4623,"1.1392,"
"2026-04-13 04:00:01,669",1500,4.999e-05,8 days 8:21:23,4.312,0.116,30885.0,0.4497,1.0273,0.561,1.882,0.4968,1.485,0.4728,1.2671,0.4586,1.1531,0.4424,1.0829,0.0518,0.0944,0.4936,1.0611,1.0541,2.738,0.7315,1.704,0.6391,1.34,0.5537,1.1963,0.504,1.1246,0.0766,0.1372,0.4244,0.9787,0.5966,1.7492,0.4992,1.3838,0.4716,1.2012,0.44,1.0901,0.4254,1.033,0.0605,0.1058,0.4306,0.9803,0.5647,1.7392,0.483,1.3784,0.4607,"1.2013,"
